,filename, H,C,N,O,F,Cl,Br,V,Cu,Zn,Zr, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
53,hMOF-7001743.cif,27,86,0,32,0,0,29,0,0,0,6,59.0,6.976744186046512,5.333333333333333,0.3388888888888889,1.088444444444444,0.0,10.95709,4.16976,1.4958,1444.35,965.603,0.638971,0.000916634,0.000557155,2.2089603941,1.6088246401,1.6644013221,1.081347664,0.544559072,0.5274769761,1.375782538622486,0.7268590579738413,0.749194862506065,0.3834014179509364
54,hMOF-5016012.cif,24,30,0,26,0,0,0,0,0,4,0,19.0,13.33333333333333,6.5,0.3095238095238095,1.064761904761905,0.0,9.61596,4.63354,0.879232,1871.32,2128.36,0.578249,6.12922e-05,4.80798e-05,3.0859155975,2.5884609944,0.3569118207,0.2788848028,2.7290037768,2.3095761916,1.194573817224503,0.8371186322528151,3.25999645887206,1.933389262595858
55,hMOF-7002850.cif,32,126,6,44,0,0,34,0,0,0,6,92.5,4.761904761904762,7.333333333333333,0.3387096774193548,1.089677419354839,0.1363636363636363,24.07929,9.7465,0.636179,1548.64,2434.28,0.864307,0.000211225,0.000143028,2.4313096561,1.88088546,0.6024635873,0.4274447353,1.8288460688,1.4534407247,1.29523478314654,0.772060797788861,2.36878504133057,1.122144605450702
56,hMOF-7000026.cif,57,74,15,32,0,0,0,0,0,0,6,42.75,8.108108108108109,5.333333333333333,0.2554347826086957,0.8460869565217392,0.46875,11.43828,3.85998,0.910145,982.839,1079.87,0.566992,0.000823339,0.000628637,2.825877125,2.4647956778,1.5685545508,1.1442924539,1.2573225742,1.3205032239,1.148796022360849,0.8704765515682553,1.444407172065463,1.149467092675236
57,hMOF-1002542.cif,4,16,0,10,0,0,4,2,0,0,0,13.0,12.5,5.0,0.3888888888888889,1.284444444444444,0.0,5.2722,4.84887,2.1871,1260.73,576.441,0.769581,14.8369,4.59727,1.5517373089,1.0197732992,1.5643529433,0.9986281817,-0.01261563440000013,0.02114511749999992,1.524702591800254,0.6558656129909739,-0.01923509046688464,0.01386835545090362
58,hMOF-1000295.cif,4,26,0,10,0,0,8,2,0,0,0,21.0,7.692307692307693,5.0,0.36,1.1616,0.0,11.3174,10.97851,1.26688,1591.87,1256.52,0.815616,0.00108041,0.00069012,3.3409026999,2.666811075,2.738212299,1.7710152612,0.6026904008999998,0.8957958138,1.255284454288707,0.7966321868987369,0.7565478909987982,0.7136197781622278
59,hMOF-5067702.cif,50,88,4,16,0,0,22,0,4,0,0,52.0,4.545454545454546,4.0,0.2282608695652173,0.7191304347826086,0.25,7.00059,3.87229,1.26171,1148.85,910.548,0.547301,0.00112501,0.000657524,1.7709063514,1.7270068981,1.2288896259,0.9974403132,0.5420167255000001,0.7295665848999999,1.027476969999942,0.9732578239686057,0.5569097028060305,0.710056386859981
60,hMOF-5079265.cif,10,32,4,12,0,0,6,0,2,0,0,24.0,6.25,6.0,0.3333333333333333,1.078787878787879,0.3333333333333333,5.38968,3.8795,1.51505,1411.31,931.526,0.7113,0.023602,0.0210651,1.7928008592,2.2984031886,1.7540151281,1.7915664948,0.03878573109999994,0.5068366938,0.7815853478613323,1.279450801804717,0.03031435913384955,0.6484726142664616
61,hMOF-5081384.cif,70,95,6,16,0,0,0,0,2,0,0,59.5,2.105263157894737,8.0,0.1164021164021164,0.3877248677248677,0.375,17.84571,16.37282,0.48469,2411.93,4976.23,0.9048,0.116803,0.0727046,7.7442433445,6.565383679,4.6319811522,3.6923842193,3.1122621923,2.8729994597,1.18192373205755,0.8460782814295058,3.67845654546483,2.430782445410875
62,hMOF-26201.cif,24,28,2,8,0,0,0,0,0,2,0,16.5,7.142857142857142,4.0,0.15625,0.525,0.25,5.3642,4.24674,1.10422,1490.37,1349.7,0.662173,1.02596,0.506483,3.1718023709,2.5628145649,3.1714032879,2.2986216095,0.0003990830000000223,0.2641929554,1.240107999360378,0.8063813801022,0.0004949060207087655,0.213040279988731
63,hMOF-7002617.cif,24,102,2,36,0,34,0,0,0,0,6,73.5,5.88235294117647,6.0,0.3529411764705882,1.163529411764706,0.0555555555555555,11.05398,4.68959,1.45551,715.962,491.898,0.690325,0.0549093,0.0253733,2.1855457546,1.878878144,2.1583828551,1.4675799872,0.02716289949999995,0.4112981568,1.165552556841151,0.8579621692136928,0.03165978696344417,0.3528782588017216
64,hMOF-5074384.cif,38,32,2,8,0,0,0,0,2,0,0,13.5,6.25,4.0,0.1219512195121951,0.4097560975609756,0.25,4.54008,3.77151,1.165,606.147,520.3,0.756313,0.613561,0.660243,2.1820940073,3.5771721256,2.2303585371,3.4250104463,-0.04826452979999996,0.1521616793000002,0.6112293382756647,1.636047122379783,-0.02950069661184007,0.2489436775552407
